employee_id,age,salary,years_at_company,work_hours,promotions,satisfaction,projects,left
1,28,45000,3,45,0,3,4,1
2,35,72000,8,40,2,7,3,0
3,42,95000,15,38,4,8,2,0
4,26,38000,2,50,0,2,5,1
5,31,58000,5,42,1,6,4,0
6,29,42000,3,48,0,3,6,1
7,38,85000,12,39,3,8,3,0
8,24,35000,1,52,0,2,7,1
9,45,105000,18,37,5,9,2,0
10,33,62000,6,41,1,6,4,0
11,27,40000,2,49,0,3,5,1
12,40,90000,14,38,4,8,2,0
13,30,55000,4,44,1,5,4,0
14,25,36000,1,51,0,2,6,1
15,36,78000,10,40,3,7,3,0
16,28,43000,3,47,0,3,5,1
17,43,98000,16,38,4,9,2,0
18,32,60000,5,42,1,6,3,0
19,26,39000,2,50,0,2,5,1
20,39,88000,13,39,3,8,3,0
21,29,46000,3,46,0,4,4,1
22,34,68000,7,40,2,7,3,0
23,41,92000,15,38,4,8,2,0
24,27,37000,2,51,0,2,6,1
25,31,56000,5,43,1,5,4,0
26,28,44000,3,48,0,3,5,1
27,37,82000,11,39,3,7,3,0
28,25,35000,1,52,0,2,7,1
29,44,102000,17,37,5,9,2,0
30,32,61000,6,41,1,6,4,0
31,26,40000,2,49,0,3,5,1
32,39,87000,13,39,3,8,3,0
33,30,54000,4,44,1,5,4,0
34,24,36000,1,51,0,2,6,1
35,36,76000,10,40,3,7,3,0
36,28,42000,3,47,0,3,5,1
37,43,96000,16,38,4,9,2,0
38,33,63000,6,42,1,6,3,0
39,27,38000,2,50,0,2,5,1
40,40,89000,14,39,3,8,2,0
